,,,,,Ingredient Preferences,,,,Allergens,,,,,,,,Skin type,,,,Suitable for sensitive skin,,,,,,Suitable (for acne-prone),,,,,,,Skin concern,,,,,,,,,,,,,,,,,,,,,,,,,,,Benefit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Age range,,,,,
Ingredient name,PubChem CID,INCI name,INCI number,CAS Number,Vegetarian,Vegan,Gluten-free,Paleo,Nut-free,Soy-free,Latex-free,Sesame-free,Citrus-free,Dye-free,Fragrance-free,Scent-free,Normal,Dry,Oily,Combination,Not sensitive,A little sensitive,Moderately sensitive,Sensitive,Very sensitive,Extremely sensitive,Not acne prone,A little acne-prone,Moderately acne-prone,Acne-prone,Very acne-prone,Extremely acne-prone,Suitable for mature skin,Acne,Rosacea,Cystic Acne,Hyperpigmentation,Melasma,Xerosis,Dryness,Redness,Oiliness,Signs of Aging,Dark Spots,Sensitive skin,Dullness,Uneven skin tone,Wrinkles,Fine lines,Loss of Elasticity/firmness,Damaged skin,Visible pores,"Clogged pores, blackheads",Uneven texture,Eczema,Psoriasis,Dermatitis,Sunburned skin,Dark circles,Blemishes,Moisturizing,Nourishing,Hydrating,Exfoliating,Calming,Soothing,UV-barrier,Healing,Smoothing,Reduces acne,Reduces blemishes,Reduces wrinkles,Improves symptoms of eczema,Improves symptoms of psoriasis,Improves symptoms of dermatitis,Brightening,Improves skin tone,Reduces inflammation,Minimizes pores,Anti-aging,Firming,Detoxifying,Balancing,Reduces redness,Clarifying,Anti-bacterial,Stimulates collagen production,Reduces fine lines,Antioxidant Protection,Skin Barrier Protection,Teen,20s,30s,40s,50s,60+
Water (Aqua),962,Aqua,7732-18-5,7732-18-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Glycerin,753,Glycerin,56-81-5,56-81-5,Yes/No,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Aloe Barbadensis Leaf Juice,23343930,Aloe Barbadensis Leaf Juice,85507-69-3,85507-69-3,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,1,,,,,,1,1,,,,1,,,,,,1,,,,,,,1,,,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Glyceryl Stearate,9204,Glyceryl Stearate,11099-07-03,11099-07-03,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,4,4,4,4,4,4,4,4,Yes,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Simmondsia Chinensis (Jojoba) Seed Oil,91745,Simmondsia Chinensis Seed Oil,61789-91-1,61789-91-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,1,,,,,,1,,1,,,1,,,,,,,,,,,,,1,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Sodium Ascorbyl Phosphate,443277,Sodium Ascorbyl Phosphate,66170-10-3,66170-10-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,No,Yes,Yes,Yes,Yes,Yes
Cetearyl Alcohol,8221,Cetearyl Alcohol,67762-27-0,67762-27-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Rosa Canina Fruit Oil,5280343,Rosa Canina Fruit Oil,84696-47-9,84696-47-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,0,1,5,5,5,5,4,4,5,5,5,4,3,3,No,,,,,,,1,,,,1,,,1,1,1,1,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,No,Yes,Yes,Yes,Yes,Yes
Steareth-21,71386,Steareth-21,9005-00-9,None,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,4,4,4,4,3,3,4,4,4,3,3,2,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Theobroma Cacao (Cocoa) Seed Butter,104935,Theobroma Cacao Seed Butter,8002-31-1,None,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,-3,1,4,4,4,4,3,3,4,4,4,3,3,2,Yes,,,,,,,1,,,1,,,,,,,1,1,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Microcrystalline Cellulose,57417357,Cellulose,9004-34-6,9004-34-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Tocopherol,14985,Tocopherol,59-02-9,59-02-9,Yes,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,No,Yes,Yes,Yes,Yes,Yes
Phenoxyethanol,31226,Phenoxyethanol,122-99-6,122-99-6,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,3,3,3,2,1,1,3,3,3,2,1,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No
Sorbitan Stearate,5366837,Sorbitan Stearate,1338-41-6,1338-41-6,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Glycine Soja (Soybean) Oil,5280460,Glycine Soja (Soybean) Oil,8001-22-7,8001-22-7,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Boswellia Carterii Oil,519047,Boswellia Carterii Oil,8016-36-2,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,3,3,3,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
PEG-20 Stearate,615735,PEG-20 Stearate,9004-99-3,9005-00-9,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,4,4,4,4,3,3,4,4,4,4,3,3,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Ethylhexylglycerin,3082978,Ethylhexylglycerin,70445-33-9,70445-33-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,-3,3,3,3,3,3,2,1,1,3,3,3,2,1,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Hydroxyacetophenone,7417,Hydroxyacetophenone,99-93-4,99-93-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,Yes,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes
Citric Acid,311,Citric Acid,77-92-9,77-92-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1,-3,3,3,3,3,2,1,0,0,3,3,3,2,1,1,Yes,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Fusanus Spicatus Wood Oil,18650,Santalum Spicatum Wood Oil,8024-35-9,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,3,3,3,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,,,,1,,,,,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Rosmarinus Officinalis (Rosemary) Leaf Oil,10657,Rosmarinus Officinalis (Rosemary) Leaf Oil,8000-2,8000-25-7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,-3,3,3,3,3,2,1,0,0,3,3,3,2,1,1,Yes,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cellulose Gum,6852218,Cellulose Gum,9004-32-4,9004-32-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Disodium EDTA,6049,Disodium EDTA,6381-92-6,139-33-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,4,4,4,4,3,3,4,4,4,4,3,3,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Daucus Carota Sativa (Carrot) Root Extract,61811,Daucus Carota Sativa Root Extract,84929-61-3,84929-61-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,No,No,Yes,Yes,Yes,Yes
Tropolone,10230,Tropolone,533-75-5,533-75-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,4,4,4,4,3,3,4,4,4,4,3,3,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Beta-Carotene,5280489,Beta-Carotene,7235-40-7,7235-40-7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,No,No,Yes,Yes,Yes,Yes
Limonene,440917,Limonene,138-86-3,5989-27-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,1,-3,3,3,2,2,2,1,0,0,2,2,2,1,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No
Farnesol,8207,Farnesol,4602-84-0,4602-84-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,-3,3,3,2,2,2,1,0,0,2,2,2,1,0,0,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Linalool 100% Natural Fragrance - Parfum 100% Naturel,6549,Linalool,78-70-6,78-70-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,-3,3,3,2,2,2,1,0,0,2,2,2,1,0,0,Yes,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Algae Extract,0,Algae Extract,92128-82-0,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,No,No,Yes,Yes,Yes,Yes
Apricot Oil,176871,Prunus Armeniaca (Apricot) Kernel Oil,72869-69-3,72869-69-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Avocado Butter,5280484,Persea Gratissima (Avocado) Butter,915831-44-4,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Bentonite,5350520,Bentonite,1302-78-9,1302-78-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,-3,3,3,3,3,3,2,1,1,3,3,3,2,1,1,Yes,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Butyrospermum Parkii (Shea) Butter,5357148,Butyrospermum Parkii (Shea) Butter,91080-23-8,91080-23-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,1,,,1,1,,,,,,1,,,,,,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Caprylic/Capric Triglyceride,5462308,Caprylic/Capric Triglyceride,73398-61-5,73398-61-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
