,,,,,Ingredient Preferences,,,,Allergens,,,,,,,,Skin type,,,,Suitable for sensitive skin,,,,,,Suitable (for acne-prone),,,,,,,Skin concern,,,,,,,,,,,,,,,,,,,,,,,,,,,Benefit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Age range,,,,,
Water (Aqua),962,Aqua (Water),7732-18-5,7732-18-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Xanthan Gum,11953916,Xanthan Gum,11138-66-2,11138-66-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Butter Butyrospermum Parkii (Shea) Butter ,5357148,Butyrospermum Parkii (Shea) Butter,91080-23-8,91080-23-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,1,,,1,1,,,,,,1,,,,,,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Citrus Aurantium (Petigtain) Oil,5460178,Citrus Aurantium Amara (Bitter Orange) Oil,72968-50-4,72968-50-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,1,-3,3,3,3,3,2,1,0,0,3,3,2,1,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Prunus Amygdalys Dulcis (Sweet almond oil) ,31249,Prunus Amygdalus Dulcis Oil,8007-69-0,8007-69-0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Simmondsia Chinensis (Jojoba) Seed Oil,91745,Simmondsia Chinensis Seed Oil,90045-98-0,61789-91-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,1,,,,,,1,,1,,,1,,,,,,,,,,,,,1,,,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Apium Graveolens (Celery) Seed Extract,6436662,Apium Graveolens Seed Extract,89998-90-5,89997-35-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,-3,3,3,4,4,4,4,3,3,4,4,4,4,3,3,Yes,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
Arginine,6322,Arginine,74-79-3,74-79-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Butyrospermum Parkii (Shea) Butter,5357148,Butyrospermum Parkii (Shea) Butter,91080-23-8,91080-23-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,1,,,1,1,,,,,,1,,,,,,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Camellia Japonica Seed Oil1,118678,Camellia Japonica Seed Oil,223748-12-3,225233-97-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No,Yes,Yes,Yes,Yes,Yes
Caprylhydroxamic Acid,72736,Caprylhydroxamic Acid,7377-03-09,7377-03-09,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,-3,3,3,3,3,3,2,1,1,3,3,3,2,1,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Caprylic/Capric Triglyceride,5462308,Caprylic/Capric Triglyceride,73398-61-5,73398-61-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cetyl Alcohol,8221,Cetyl Alcohol,36653-82-4,36653-82-4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cucumis Sativus (Cucumber) Fruit Extract,11979287,Cucumis Sativus Fruit Extract,89998-01-06,89998-01-06,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cucumis Sativus (Cucumber) Fruit Water,11979287,Cucumis Sativus Fruit Water,9007-23-0,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Ethylhexylglycerin,3082978,Ethylhexylglycerin,70445-33-9,70445-33-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,-3,3,3,3,3,3,2,1,1,3,3,3,2,1,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Glycerin,753,Glycerin,56-81-5,56-81-5,Yes/No,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Glyceryl Caprylate,85857,Glyceryl Caprylate,26402-26-6,26402-26-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,3,4,4,4,3,3,4,4,4,4,3,3,3,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Glyceryl Stearate,9204,Glyceryl Stearate,11099-07-03,11099-07-03,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,4,5,4,4,4,4,4,4,Yes,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Helianthus Annuus Seed Oil/Sunflower Seed Oil,5280934,Helianthus Annuus Seed Oil,8001-21-6,8001-21-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Lecithin,643682,Lecithin,8002-43-5,8002-43-5,Yes,Yes/No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,3,5,5,5,5,5,5,Yes,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No,Yes,Yes,Yes,Yes,Yes
Linum Usitatissimum (Linseed) Seed Extract,1548969,Linum Usitatissimum Seed Extract,8001-26-1,8001-26-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,-3,1,4,4,4,4,3,0,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Mentha Piperita (Peppermint) Extract,6850742,Mentha Piperita Extract,84082-70-2,84082-70-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,-3,3,3,3,3,2,1,0,3,3,3,2,1,0,0,Yes,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No,No,No
Panax Ginseng Root Extract,9895643,Panax Ginseng Root Extract,50647-08-0,50647-08-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,5,4,4,4,4,3,3,Yes,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Pullulan,516036,Pullulan,9057-02-07,9057-02-07,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Sclerotium Gum,9927494,Sclerotium Gum,39464-87-4,39464-87-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,3,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Sodium Phytate,94510,Sodium Phytate,14306-25-3,14306-25-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Sorbitan Trioleate,5360323,Sorbitan Trioleate,26266-58-0,26266-58-0,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,5,4,4,4,4,3,3,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Squalane,11180,Squalane,0111-01-03,0111-01-03,Yes/No,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,3,5,5,5,5,5,5,Yes,,,,,,,1,,,,,1,,,,1,1,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Yes,Yes,Yes,Yes,Yes,Yes
Stearic Acid,5281,Stearic Acid,57-11-4,57-11-4,Yes,Yes/No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Tanacetum Vulgare Extract,8201752,Tanacetum Vulgare Extract,90063-31-1,8016-87-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,-3,3,3,4,4,4,4,3,5,4,4,4,4,3,3,Yes,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Water/Aqua,962,Aqua (Water),7732-18-5,7732-18-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Xanthan Gum,11953916,Xanthan Gum,11138-66-2,11138-66-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,3,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Avocado Oil,72214142,Persea Gratissima (Avocado) Oil,8024-32-6,8024-32-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,0,4,4,4,4,3,3,Yes,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
Butyrospermum Parkii (Shea) Butter,5357148,Butyrospermum Parkii (Shea) Butter,91080-23-8,91080-23-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,1,,,1,1,,,,,,1,,,,,,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Coffee,9568835,Coffea Arabica (Coffee) Seed Extract,84650-00-0,84650-00-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,-3,3,3,3,3,2,1,0,0,3,3,2,1,0,0,Yes,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,No,Yes,Yes,No,No,No
Grapeseed Oil,9898300,Vitis Vinifera (Grape) Seed Oil,8024-22-4,8024-22-4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,-3,3,3,5,5,5,5,5,3,5,5,5,5,5,5,Yes,1,,,,,,,,1,,,,,1,1,,,,1,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,No,Yes,Yes,Yes,No,No
Rosemary,520985,Rosmarinus Officinalis Leaf Extract,84604-14-8,84604-14-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,0,3,3,3,3,2,1,0,5,3,3,2,1,0,0,Yes,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,No,No
Sea Moss,0,Chondrus Crispus Extract,9000-07-01,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,4,4,4,4,3,5,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Sunflower Oil,5360523,Helianthus Annuus (Sunflower) Seed Oil,8001-21-6,8001-21-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Sweet Almond Oil,24822455,Prunus Amygdalus Dulcis (Sweet Almond) Oil,8007-69-0,8007-69-0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
